NTD ID,Legacy NTD ID,Agency,Mode/Type of Service Status,Reporter Type,UACE CD,UZA Name,Mode,TOS,3 Mode,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,
30041,3041,Board of Commissioners of Allegany County Maryland,Active,Rural Reporter,00024,Maryland Non-UZA,DR,DO,Bus,,,,,"26,957 ","21,709 ","18,543 ","18,470 ","18,286 ","22,158 ",,,,,,,,,,,,,,,,
30041,3041,Board of Commissioners of Allegany County Maryland,Active,Rural Reporter,00024,Maryland Non-UZA,MB,DO,Bus,,,,,"289,658 ","113,444 ","162,690 ","170,553 ","160,520 ","176,482 ",,,,,,,,,,,,,,,,
30042,3042,Washington County ,Active,Small Systems Reporter,36190,"Hagerstown, MD--WV--PA--VA",DR,DO,Bus,,,0 ,0 ,"10,957 ","9,744 ","10,360 ","10,790 ","10,765 ","12,333 ",,,,,,,,,,,,,,,,
30042,3042,Washington County ,Active,Small Systems Reporter,36190,"Hagerstown, MD--WV--PA--VA",MB,DO,Bus,"287,006 ",0 ,0 ,"136,746 ","330,747 ","346,122 ","370,290 ","370,882 ","363,998 ","402,369 ",,,,,,,,,,,,,,,,
30044,3044,Westmoreland County Transit Authority,Active,Full Reporter,69697,"Pittsburgh, PA",DR,DO,Bus,,,,,,,,,,,,,,,,,,,"122,620 ","126,496 ","150,971 ","158,971 ","161,124 ","170,381 ","42,240 ",
30044,3044,Westmoreland County Transit Authority,Inactive,Full Reporter,69697,"Pittsburgh, PA",DR,PT,Bus,"6,262 ","5,034 ","4,532 ","5,083 ","4,821 ","4,804 ","6,624 ","7,971 ","9,101 ",,,,,,,,,,,,,,,,,
30044,3044,Westmoreland County Transit Authority,Inactive,Full Reporter,69697,"Pittsburgh, PA",DR,TX,Bus,,,,,,,,,,"14,088 ","16,501 ","126,318 ","213,268 ","195,709 ","193,294 ","197,697 ","189,465 ","190,272 ",,,,,,,,
30044,3044,Westmoreland County Transit Authority,Active,Full Reporter,69697,"Pittsburgh, PA",MB,DO,Bus,,,,,,,,,"190,057 ",,,,,,,,,,"157,936 ","132,506 ","170,342 ","200,203 ","207,340 ","207,505 ","46,628 ",
30044,3044,Westmoreland County Transit Authority,Inactive,Full Reporter,69697,"Pittsburgh, PA",MB,PT,Bus,"284,086 ","280,176 ","258,005 ","310,411 ","354,345 ","382,066 ","442,553 ","450,653 ","268,284 ","522,719 ","578,950 ","552,864 ","541,592 ","514,002 ","489,974 ","452,946 ","420,303 ","389,968 ",,,,,,,,
30045,3045,"JAUNT, Inc.",Active,Full Reporter,15724,"Charlottesville, VA",CB,DO,Bus,,,,,,,,,,,,,,,,,"19,949 ","55,137 ","30,294 ","25,445 ","40,326 ","45,274 ","55,561 ","65,054 ","16,516 ",
