NTD ID,Legacy NTD ID,Agency,Mode,TOS,3 Mode,Mode/Type of Service Status,Reporter Type,Organization Type,HQ City,HQ State,UACE CD,UZA Name,UZA SQ Miles,UZA Population,Service Area Population,Service Area SQ Miles,Last Closed Report Year,Last Closed FY End Month,Last Closed FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Avg Trip Length FY,Fares FY,Operating Expenses FY,Avg Cost Per Trip FY,Avg Fares Per Trip FY
70018,7018,City of Iowa City,DR,PT,Bus,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",IOWA CITY,IA,41590,"Iowa City, IA",50.83," 	126,810 "," 	75,671 ", 	26 ,2024,6,2024,"318,507 ","73,489 ",4 ,"$10,384 ","$306,973 ",$4.18 ,$0.14 
70018,7018,City of Iowa City,MB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",IOWA CITY,IA,41590,"Iowa City, IA",50.83," 	126,810 "," 	75,671 ", 	26 ,2024,6,2024,"3,491,691 ","1,505,184 ",2 ,"$109,870 ","$7,419,298 ",$4.93 ,$0.07 
70019,7019,University of Iowa,DR,DO,Bus,Active,Full Reporter,University,IOWA CITY,IA,41590,"Iowa City, IA",50.83," 	126,810 "," 	79,240 ", 	30 ,2024,6,2024,"44,607 ","11,708 ",4 ,$0 ,"$450,250 ",$38.46 ,$0.00 
70019,7019,University of Iowa,DR,PT,Bus,Inactive,Full Reporter,University,IOWA CITY,IA,41590,"Iowa City, IA",50.83," 	126,810 "," 	79,240 ", 	30 ,2003,6,2003,,,,,,,
70019,7019,University of Iowa,MB,DO,Bus,Active,Full Reporter,University,IOWA CITY,IA,41590,"Iowa City, IA",50.83," 	126,810 "," 	79,240 ", 	30 ,2024,6,2024,"3,762,372 ","2,582,364 ",1 ,$0 ,"$4,330,077 ",$1.68 ,$0.00 
70030,7030,City of Coralville,DR,PT,Bus,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",CORALVILLE,IA,41590,"Iowa City, IA",50.83," 	126,810 "," 	44,524 ", 	36 ,2024,6,2024,"65,572 ","9,433 ",7 ,"$26,430 ","$28,957 ",$3.07 ,$2.80 
70030,7030,City of Coralville,MB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",CORALVILLE,IA,41590,"Iowa City, IA",50.83," 	126,810 "," 	44,524 ", 	36 ,2024,6,2024,"1,115,299 ","338,871 ",3 ,"$364,757 ","$1,732,797 ",$5.11 ,$1.08 
70032,7032,"City of St. Joseph, Missouri",MB,DO,Bus,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",SAINT JOSEPH,MO,77743,"St. Joseph, MO--KS",44.35," 	77,187 "," 	71,362 ", 	39 ,2024,6,2024,,,,,,,
70033,7033,City of Lawrence - Lawrence Transit System,DR,PT,Bus,Inactive,Full Reporter,Public agency or authority that contracts for some or all transit service (not a State DOT),Lawrence,KS,48232,"Lawrence, KS",29.92," 	94,998 "," 	90,000 ", 	30 ,2009,12,2009,"195,674 ","50,169 ",4 ,"$84,730 ","$1,115,385 ",$22.23 ,$1.69 
70033,7033,City of Lawrence - Lawrence Transit System,MB,PT,Bus,Inactive,Full Reporter,Public agency or authority that contracts for some or all transit service (not a State DOT),Lawrence,KS,48232,"Lawrence, KS",29.92," 	94,998 "," 	90,000 ", 	30 ,2009,12,2009,"1,715,796 ","499,017 ",3 ,"$180,965 ","$2,602,564 ",$5.22 ,$0.36 
70035,7035,Johnson County Kansas,CB,PT,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",OLATHE,KS,43912,"Kansas City, MO--KS",714.1," 	1,674,218 "," 	384,054 ", 	135 ,2024,12,2024,"304,864 ","19,080 ",16 ,$0 ,"$1,068,848 ",$56.02 ,$0.00 
70035,7035,Johnson County Kansas,DR,PT,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",OLATHE,KS,43912,"Kansas City, MO--KS",714.1," 	1,674,218 "," 	384,054 ", 	135 ,2024,12,2024,"473,949 ","74,568 ",6 ,$0 ,"$3,221,584 ",$43.20 ,$0.00 
70035,7035,Johnson County Kansas,DR,TX,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",OLATHE,KS,43912,"Kansas City, MO--KS",714.1," 	1,674,218 "," 	384,054 ", 	135 ,2024,12,2024,"719,822 ","74,381 ",10 ,"$191,961 ","$2,669,614 ",$35.89 ,$2.58 
70035,7035,Johnson County Kansas,MB,PT,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",OLATHE,KS,43912,"Kansas City, MO--KS",714.1," 	1,674,218 "," 	384,054 ", 	135 ,2024,12,2024,"5,077,356 ","362,872 ",14 ,$0 ,"$10,070,584 ",$27.75 ,$0.00 
70036,7036,Missouri State University,MB,PT,Bus,Inactive,Full Reporter,Public agency or authority that contracts for some or all transit service (not a State DOT),Springfield,MO,83953,"Springfield, MO",134.33," 	282,651 "," 	18,732 ", 	8 ,2006,6,2006,"598,398 ","749,314 ",1 ,"$924,695 ","$1,108,577 ",$1.48 ,$1.23 
70041,7041,Ames Transit Agency,DR,DO,Bus,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",AMES,IA,02062,"Ames, IA",22.36," 	66,342 "," 	54,867 ", 	15 ,2015,6,2015,"44,194 ","11,566 ",4 ,"$14,986 ","$202,175 ",$17.48 ,$1.30 
70041,7041,Ames Transit Agency,DR,PT,Bus,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",AMES,IA,02062,"Ames, IA",22.36," 	66,342 "," 	54,867 ", 	15 ,2024,6,2024,"38,212 ","8,380 ",5 ,"$22,741 ","$11,749 ",$1.40 ,$2.71 
70041,7041,Ames Transit Agency,MB,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",AMES,IA,02062,"Ames, IA",22.36," 	66,342 "," 	54,867 ", 	15 ,2024,6,2024,"7,098,906 ","4,700,906 ",2 ,"$4,979,845 ","$13,401,234 ",$2.85 ,$1.06 
70041,7041,Ames Transit Agency,MB,PT,Bus,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",AMES,IA,02062,"Ames, IA",22.36," 	66,342 "," 	54,867 ", 	15 ,2019,6,2019,"409,139 ","244,994 ",2 ,$0 ,"$253,595 ",$1.04 ,$0.00 
70043,7043,City of Jefferson,DR,DO,Bus,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",JEFFERSON CITY,MO,42967,"Jefferson City, MO",34.46," 	50,775 "," 	43,228 ", 	36 ,2024,10,2024,,,,,,,
70043,7043,City of Jefferson,MB,DO,Bus,Active,Small Systems Reporter,"City, County or Local Government Unit or Department of Transportation",JEFFERSON CITY,MO,42967,"Jefferson City, MO",34.46," 	50,775 "," 	43,228 ", 	36 ,2024,10,2024,,,,,,,
70044,,University of Kansas,DR,PT,Bus,Inactive,Full Reporter,University,LAWRENCE,KS,48232,"Lawrence, KS",29.92," 	94,998 "," 	94,930 ", 	15 ,2007,6,2007,,,,,,,
70044,,University of Kansas,MB,PT,Bus,Active,Full Reporter,University,LAWRENCE,KS,48232,"Lawrence, KS",29.92," 	94,998 "," 	94,930 ", 	15 ,2024,6,2024,"1,546,782 ","1,628,191 ",1 ,$0 ,"$3,302,447 ",$2.03 ,$0.00 
70045,7045,"County of Johnson, Iowa",DR,DO,Bus,Active,Full Reporter,"City, County or Local Government Unit or Department of Transportation",IOWA CITY,IA,41590,"Iowa City, IA",50.83," 	126,810 "," 	152,854 ", 	613 ,2024,6,2024,"537,792 ","109,610 ",5 ,"$105,828 ","$4,021,884 ",$36.69 ,$0.97 
70045,7045,"County of Johnson, Iowa",MB,DO,Bus,Inactive,Full Reporter,"City, County or Local Government Unit or Department of Transportation",IOWA CITY,IA,41590,"Iowa City, IA",50.83," 	126,810 "," 	152,854 ", 	613 ,2018,6,2018,225 ,58 ,4 ,$30 ,"$8,118 ",$139.97 ,$0.52 
